book_id,publisher_id
0,0
1,0
2,2
3,0
4,2
5,3
6,2
7,4
8,5
9,6
10,7
11,8
12,9
13,9
14,9
15,9
16,9
17,10
18,10
19,10
20,10
21,11
22,12
23,12
24,12
25,12
26,12
27,13
28,14
29,15
30,16
31,17
32,18
33,19
34,20
35,21
36,22
37,23
38,24
39,25
40,26
41,27
42,28
43,29
44,30
45,31
46,30
47,30
48,30
49,30
50,30
51,30
52,30
53,32
54,33
55,34
56,35
57,36
58,37
59,38
60,39
61,40
62,41
63,42
64,35
65,43
66,43
67,43
68,44
69,45
70,46
71,43
72,12
73,11
74,47
75,48
76,49
77,50
78,10
79,49
80,51
81,49
82,49
83,49
84,49
85,52
86,53
87,53
88,52
89,54
90,55
91,56
92,57
93,58
94,59
95,60
96,61
97,62
98,56
99,33
100,63
101,64
102,65
103,66
104,67
105,15
106,68
107,69
108,71
109,72
110,73
111,74
112,75
113,44
114,76
115,76
116,76
117,33
118,78
119,79
120,80
121,81
122,82
123,82
124,82
125,82
126,82
127,83
128,54
129,84
130,85
131,18
132,86
133,87
134,88
135,56
136,89
137,53
138,89
139,38
140,90
141,91
142,92
143,4
144,93
145,94
146,95
147,96
148,97
149,98
150,99
151,100
152,101
153,43
154,100
155,44
156,102
157,100
158,100
159,11
160,72
161,103
162,104
163,105
164,91
165,106
166,64
167,107
168,56
169,108
170,64
171,56
172,33
173,109
174,110
175,68
176,56
177,78
178,54
179,56
180,111
181,54
182,112
183,31
184,113
185,33
186,31
187,113
188,114
189,30
190,54
191,56
192,56
193,115
194,116
195,117
196,56
197,56
198,118
199,56
200,83
201,119
202,120
203,121
204,62
205,122
206,11
207,123
208,124
209,53
210,125
211,126
212,127
213,13
214,57
215,128
216,129
217,130
218,117
219,131
220,11
221,132
222,132
223,133
224,64
225,64
226,134
227,135
228,136
229,10
230,137
231,138
232,139
233,140
234,59
235,141
236,142
237,143
238,55
239,144
240,55
241,55
242,144
243,145
244,16
245,146
246,147
247,148
248,31
249,149
250,150
251,151
252,113
253,152
254,110
255,153
256,154
257,154
258,33
259,153
260,155
261,156
262,157
263,158
264,159
265,158
266,160
267,161
268,162
269,10
270,163
271,164
272,10
273,165
274,165
275,135
276,166
277,167
278,167
279,168
280,168
281,168
282,169
283,170
284,171
285,172
286,172
287,172
288,172
289,172
290,130
291,172
292,146
293,173
294,56
295,174
296,80
297,72
298,155
299,175
300,33
301,176
302,33
303,102
304,177
305,62
306,178
307,102
308,179
309,180
310,181
311,9
312,182
313,102
314,183
315,184
316,185
317,186
318,187
319,188
320,13
321,189
322,11
323,190
324,191
325,9
326,122
327,56
328,192
329,193
330,194
331,68
332,56
333,129
334,195
335,33
336,11
337,196
338,197
339,198
340,199
341,49
342,200
343,96
344,201
345,56
346,136
347,202
348,203
349,203
350,203
351,203
352,204
353,204
354,74
355,205
356,27
357,206
358,207
359,209
360,56
361,210
362,211
363,10
364,212
365,121
366,213
367,214
368,215
369,27
370,26
371,216
372,134
373,217
374,123
375,218
376,219
377,134
378,164
379,220
380,221
381,134
382,134
383,222
384,223
385,224
386,54
387,151
388,54
389,225
390,226
391,227
392,228
393,227
394,54
395,56
396,54
397,225
398,140
399,54
400,229
401,230
402,192
403,54
404,227
405,30
406,54
407,54
408,139
409,227
410,54
411,30
412,68
413,54
414,139
415,231
416,232
417,233
418,140
419,234
420,235
421,236
422,62
423,237
424,170
425,170
426,170
427,170
428,170
429,170
430,68
431,56
432,57
433,57
434,238
435,232
436,227
437,232
438,227
439,105
440,232
441,239
442,192
443,192
444,192
445,240
446,241
447,192
448,192
449,56
450,242
451,62
452,54
453,151
454,243
455,59
456,123
457,140
458,242
459,151
460,242
461,151
462,244
463,57
464,242
465,242
466,244
467,192
468,192
469,192
470,151
471,54
472,227
473,56
474,30
475,245
476,192
477,62
478,114
479,245
480,59
481,246
482,192
484,247
485,160
486,56
487,227
488,149
489,107
491,248
492,249
493,62
494,122
495,141
496,34
497,241
498,245
499,227
500,54
501,250
502,151
503,242
504,56
505,252
506,232
507,57
508,140
509,55
510,151
511,227
512,54
513,62
514,33
515,253
516,254
517,64
518,56
519,255
520,256
521,256
522,257
523,256
524,256
525,258
526,258
527,259
528,260
529,129
530,260
531,261
532,262
