year	total_books	total_ratings
1991	116	978385
1992	137	668716
1993	122	2643497
1994	169	1140822
1995	196	990878
1996	194	1823368
1997	223	1871865
1998	315	6207322
1999	330	9349181
2000	395	5612873
2001	507	10331797
2002	605	15413392
2003	708	20770930
2004	784	20555059
2005	970	18665295
2006	1316	32483943
2007	369	4914502
2008	38	336155
2009	36	647769
2010	30	1176640
2011	17	30222
2012	19	372520
2013	13	616827
2014	8	139140
2015	4	8567
2016	4	6047
2017	5	2070
2018	4	3797
2019	3	40375
2020	1	35275
