isbn,average_rating,ratings_count,text_reviews_count
439785960,4.57,2095690,27591
439358078,4.49,2153167,29221
439554896,4.42,6333,244
043965548X,4.56,2339585,36325
439682584,4.78,41428,164
976540606,3.74,19,1
439827604,4.73,28242,808
517226952,4.38,3628,254
345453743,4.38,249558,4080
1400052920,4.22,4930,460
739322206,4.22,1266,253
517149257,4.38,2877,195
076790818X,4.21,248558,9396
767915062,3.44,7270,499
767910435,3.87,2088,131
767903862,4.07,72451,4245
076790382X,3.9,49240,2211
60920084,3.83,45712,2257
380713802,3.86,48701,2238
380727501,3.91,80609,3301
380715430,3.93,28489,2085
345538374,4.59,101233,1550
618517650,4.5,1710,91
618346252,4.36,2128944,13670
618260587,4.5,1618,140
618391002,4.53,19822,46
618510826,4.5,359,6
097669400X,3.84,1430,59
689840926,3.72,270244,12017
1557344493,4,36,2
385326505,3.88,2067,334
1575606240,4.33,6,0
1595580271,3.45,99,16
1595962808,3.76,167,4
670059676,3.6,978,111
141312629,4.06,4454,302
595321801,4.17,1176,96
1590301943,3.55,301,43
449146979,3.98,345,12
61159174,3.83,29686,2626
006076273X,3.83,55,12
60749911,3.83,22,3
273704745,3.83,1456,82
1932386106,4.13,52,4
374517193,4.42,562,37
374280398,3.95,1630,203
374519749,4.17,268,22
374522596,4.24,3498,305
374518734,4.34,3115,228
374522871,4.22,5704,261
374519323,3.92,698,52
374516006,4.23,542,36
374520658,4.23,1341,98
822205106,3.75,1423,70
679734996,3.84,2766,64
1596670231,3.94,31,1
1581807740,3.77,62,4
800793617,4.46,860,53
871202867,3.68,77,2
753454947,3.99,153317,2257
871209993,3.25,55,5
1852402873,4.46,34,6
761129588,3.89,11797,659
972016414,3.82,34,8
1581805632,3.78,78,4
441294677,3.84,2785,166
441102670,3.91,38778,568
441172695,3.88,97494,2359
765306476,4.01,784,21
399128980,3.86,272,20
765353709,3.88,4789,83
441328008,3.86,45388,644
618212906,4.59,26153,102
034541005X,4.35,69167,4551
385732546,4.35,45,13
785260056,4.28,16,1
471780936,3.34,174,16
325001537,3.67,10,0
006076287X,3.48,76,9
470045299,3.5,111,9
72262788,3.62,24,0
764569244,3.55,55,4
471933821,4.27,9,0
764559915,3.39,22,1
764584383,3.89,17,3
596523696,3.84,166,4
806523492,4.12,50,5
806525363,4.08,13,2
596527314,3.48,64,1
143035002,4.05,16643,1851
451528611,4.05,109420,5696
140449175,4.05,2904,309
822001837,3.85,16,3
1593080271,4.05,9564,726
486437965,4.05,474,72
1593081774,4.05,303,48
778322270,2.99,411,65
521313252,4.19,1204,33
140183957,3.71,3429,279
679767479,3.95,2163,216
1568491980,3.89,613,31
743270797,3.82,308,40
932863051,4.2,10,0
742508803,3.65,16,4
205358624,3.4,10,0
1557344035,4,17,0
380720442,4.01,1035,23
821925326,4,36,6
043927169X,3.6,15,0
606105263,4,6,1
751506435,4.12,376,17
006078671X,4.11,3086,237
743499344,3.94,352,44
765313405,3.6,9852,633
1400032490,3.9,821,78
1400032482,4.05,731,72
1400032466,3.94,2897,178
679732527,3.89,98,11
312424442,3.42,20888,1688
806930772,3.91,66,19
140366601,4.02,81,6
811201120,4.22,981,52
080213016X,3.69,3381,141
802131786,3.68,53206,2376
802151825,3.78,14872,459
802151787,4.1,3261,58
802151809,3.98,7805,251
811201066,3.83,2699,142
141439637,3.78,61640,1951
1593080964,3.78,392,41
1571290532,3.75,778,44
1565842219,3.85,963,65
394743040,3.66,2057,128
1851681825,3.68,203,8
156656249X,4.21,35,2
014019553X,4.19,328,16
394431243,3.98,1308,82
806501901,3.92,6432,517
067943920X,4.08,3015,217
753453800,3.83,318753,6734
1402714572,3.83,420,42
1416500294,3.83,5967,276
689854684,3.83,104,14
517221144,3.83,56,4
1577658051,4.05,91,16
933121180,4.61,88,4
785950109,4.07,63,7
394800842,4.04,2815,164
821778250,3.6,95,13
60733039,3.44,217,24
8432216062,4.02,4136,255
345413997,4.01,17232,649
441788386,3.92,251872,6241
441748600,3.87,10293,193
345316509,3.78,15970,438
765314932,3.97,6898,200
671742515,4.06,67803,1401
345455290,3.93,22091,746
345476514,4.14,2623,49
345368436,3.6,885,84
1417622857,3.93,5,0
573650969,4.13,100,13
691122946,3.57,9358,995
393329402,3.78,9318,907
671867423,4.14,120,15
395883970,4.53,5239,76
684848155,3.92,1505,175
140156046,3.99,11857,564
140119485,3.43,393,55
679722947,3.43,1356,72
743244257,3.22,460,41
140179178,3.48,2492,145
679722955,3.64,3100,212
159420120X,4.13,5296,587
60930217,3.96,1415,177
60931671,3.69,2161,230
140283382,4.01,762,213
312423209,4.07,8086,602
141180633,3.69,702,69
143039946,4.01,29764,2164
316724432,3.5,334,34
140189300,3.8,2473,220
140004314X,3.89,2656,336
374522219,4.17,11889,738
679754865,3.8,2962,255
679752862,3.86,2842,292
374521727,4.21,26934,1825
679754857,3.81,2070,169
307264874,4.5,1564,108
374529949,3.87,23656,1706
143039830,3.89,43200,1873
140097317,3.79,12410,734
014009735X,3.64,3672,195
940650762,3.89,2998,164
963188925,3.89,74,2
312426232,3.84,17977,1157
140115854,3.94,16099,503
140154078,3.9,361,36
805081453,3.23,6688,562
140178139,3.96,11744,443
811214982,3.77,2390,120
2742741461,4.38,21,1
143036556,3.93,52522,2780
446579785,3.4,213,26
052138673X,4.15,719,86
743203046,3.8,4762,512
034543871X,3.91,62,4
393318281,4.39,278,20
1599869942,4.01,2862,262
806519606,3.78,2829,334
822549204,3.93,105,5
932813860,4.13,102,2
373792689,3.77,478,12
974514055,4.03,1577,49
764585975,3.95,73,8
307281701,3.68,408,96
812969707,4.11,1693,100
60255080,4.14,1,0
330485385,3.81,6485,966
159413023X,3.81,367,73
345360354,3.8,1371,43
321303474,3.98,793,28
321430840,3.8,549,42
3822840858,3.85,288,31
743264460,3.81,26381,1109
743236017,3.73,62089,3324
553572490,3.51,474,19
60589469,3.77,166046,6446
802789471,4.08,1773,274
688060692,3.72,286,10
185960515X,3.85,40,2
1592530877,3.93,27,0
451528808,4.11,7300,266
192833987,4.11,211671,6245
486451380,4.13,2403,210
452011876,3.69,322483,14702
451163087,3.68,2750,108
452286751,3.87,1886,229
451163931,3.51,11462,467
452281253,3.63,110952,7277
451187849,3.91,23199,1086
451147952,3.88,3501,153
452274044,3.96,18,2
471791431,3.95,150,7
553803816,3.88,646,83
375755195,4.23,12180,630
1592283195,3.62,51,5
975599518,3.09,1601,284
374502005,3.63,8854,672
307263940,3.55,17155,1841
312405545,3.77,44,3
019517013X,3.59,234,11
1400079497,3.77,33321,2925
688171621,3.59,8703,417
60932686,4.19,6375,179
1400034957,3.97,7888,411
307350428,4.07,130,5
307350444,3.98,4508,278
140003454X,3.99,397,47
1400095808,3.6,5856,377
375708111,4.07,32569,1058
086171492X,4.29,37,6
184353584X,3.75,1,0
1740594770,3.83,11,0
8408064762,4.03,0,0
1740592050,0,0,0
618710531,3.88,6870,237
60512806,4.25,83184,4249
2228894168,4.1,5,0
60733357,4.26,19320,565
60593083,3.93,30872,1735
553383442,3.61,2465,137
380816032,3.25,4657,223
553380966,4.19,71042,2767
553383434,3.68,4731,270
60833181,4.2,1567,65
553380958,4.03,188100,6612
1880685353,4.16,1474,30
1880685337,4.24,1929,72
465067107,4.17,18602,1379
465051367,3.95,3702,149
465067093,4.17,265,31
898709199,4.27,51,7
60887966,3.86,920,76
61122416,3.86,1631221,55843
142150460X,4.57,9013,153
1591169259,4.56,16666,299
1421504596,4.57,11451,161
1591169208,4.5,111091,1427
1591169291,4.55,10752,294
006019250X,3.86,251,32
1591169232,4.52,14923,419
812974611,3.82,26922,1726
158715739X,3.6,1156,68
142000671,3.87,1755253,25554
60554738,3.74,20529,1592
014240120X,4.02,142121,8782
808553038,3.83,30231,1130
1400096898,4.11,280309,3703
739326228,4.11,1301083,19296
99498189,4.11,2122,256
1557046832,4.08,145,8
99771519,4.11,4189,462
074343059X,3.93,1556,158
1932664394,3.44,9,2
521750849,3.41,59,7
802415318,4.7,22,4
1416524797,3.89,2418736,21303
849561877X,3.89,196,20
972859896,3.89,65,7
307277674,3.84,1679706,35877
076792603X,3.84,1120,105
2266144340,3.84,377,16
1416524800,3.71,4919,410
552151769,3.71,3353,183
593055071,3.71,61,4
078601606X,4.04,456,41
671015206,4.03,61760,2600
1585424331,4.18,88897,2334
1932429239,4.18,48,9
977616657,3.58,173,14
1563410907,3.95,253,17
345479173,3.66,12748,948
451205367,4.26,76451,3400
1419349996,4.26,86,15
1400098033,4.21,9498,637
743226720,4.07,166916,6243
140481397,4.22,1299,30
226014908,3.62,31,5
1416500189,3.98,200744,7656
310258979,3.93,26,2
60838582,3.74,190039,4922
141006870,3.74,811,77
812968069,4.07,297533,14935
385340540,3.78,72361,2334
394720245,4.51,11208,1237
345480600,3.75,28,1
60193395,3.74,3877,275
1579546013,3.65,401,63
972018417,3.95,814,51
471743674,4.13,228,16
471430455,4.07,39,1
805431578,3.15,26,8
679838864,3.99,11178,623
373250711,3.67,3379,67
140143459,4.15,22843,936
802732291,3.31,13,1
